feature,importance
WindowID_2025-10-24_1630,5.7371321018602546e-05
WindowID_2025-02-20_0300,5.682722261998673e-05
WindowID_2024-12-09_1630,5.529613653114218e-05
WindowID_2025-06-13_0300,5.368412625932913e-05
WindowID_2025-10-22_0300,5.218984301791344e-05
WindowID_2025-01-13_1630,5.0167320932122175e-05
WindowID_2025-04-04_1000,4.999948813138852e-05
WindowID_2025-02-24_1000,4.587111759327558e-05
WindowID_2024-12-13_1630,4.523044698291428e-05
WindowID_2025-01-16_1630,3.6865455172363844e-05
WindowID_2024-12-10_1630,3.320555436295169e-05
WindowID_2025-02-25_0300,2.756733917302505e-05
WindowID_2025-07-17_1000,0.0
WindowID_2025-01-31_1630,0.0
WindowID_2025-08-07_1000,0.0
WindowID_2025-08-06_1000,0.0
WindowID_2025-07-31_1000,0.0
WindowID_2025-07-30_1630,0.0
WindowID_2025-02-05_0300,0.0
WindowID_2025-02-05_1630,0.0
WindowID_2025-02-07_1000,0.0
WindowID_2025-06-04_1000,0.0
WindowID_2025-02-03_1000,0.0
WindowID_2025-07-15_1000,0.0
WindowID_2025-06-17_1630,0.0
WindowID_2025-07-16_1630,0.0
WindowID_2025-07-21_1000,0.0
WindowID_2025-07-18_0300,0.0
WindowID_2025-07-15_0300,0.0
WindowID_2025-07-14_1630,0.0
WindowID_2025-10-28_0300,0.0
WindowID_2025-10-27_1630,0.0
WindowID_2025-06-25_0300,0.0
WindowID_2025-11-06_0300,0.0
WindowID_2025-10-27_1000,0.0
WindowID_2025-06-30_1000,0.0
WindowID_2025-01-24_0300,0.0
WindowID_2025-01-24_1000,0.0
WindowID_2025-06-20_1000,0.0
WindowID_2025-06-20_1630,0.0
WindowID_2025-01-21_1630,0.0
WindowID_2025-10-31_1630,0.0
WindowID_2025-11-03_0300,0.0
WindowID_2025-10-23_0300,0.0
WindowID_2025-10-23_1630,0.0
WindowID_2025-10-27_0300,0.0
WindowID_2025-06-12_1630,0.0
WindowID_2025-06-12_1000,0.0
WindowID_2025-06-11_1000,0.0
WindowID_2025-06-17_1000,0.0
WindowID_2025-07-16_1000,0.0
WindowID_2025-01-20_1630,0.0
WindowID_2025-06-26_0300,0.0
WindowID_2025-01-29_0300,0.0
