<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250912,184500,3647.285,3648.325,3647.285,3648.155,0,0
XAUUSD,5,20250912,185000,3648.255,3648.915,3647.935,3648.625,0,0
XAUUSD,5,20250912,185500,3648.825,3649.715,3648.825,3649.375,0,0
XAUUSD,5,20250912,190000,3649.28,3649.905,3649.265,3649.705,0,0
XAUUSD,5,20250912,190500,3649.675,3649.865,3648.685,3649.665,0,0
XAUUSD,5,20250912,191000,3649.595,3650.365,3649.595,3650.185,0,0
XAUUSD,5,20250912,191500,3650.065,3650.335,3649.725,3650.305,0,0
XAUUSD,5,20250912,192000,3650.105,3650.695,3649.455,3649.455,0,0
XAUUSD,5,20250912,192500,3649.635,3650.025,3647.785,3648.005,0,0
XAUUSD,5,20250912,193000,3648.045,3650.065,3647.895,3649.565,0,0
XAUUSD,5,20250912,193500,3649.255,3650.185,3648.905,3649.335,0,0
XAUUSD,5,20250912,194000,3649.225,3649.555,3649.105,3649.465,0,0
XAUUSD,5,20250912,194500,3649.475,3649.535,3648.655,3649.525,0,0
XAUUSD,5,20250912,195000,3649.545,3649.995,3649.105,3649.195,0,0
XAUUSD,5,20250912,195500,3649.275,3649.465,3648.735,3648.805,0,0
XAUUSD,5,20250912,200000,3648.7,3648.905,3647.785,3648.695,0,0
XAUUSD,5,20250912,200500,3648.695,3648.895,3647.195,3647.895,0,0
XAUUSD,5,20250912,201000,3647.925,3648.615,3647.655,3648.615,0,0
XAUUSD,5,20250912,201500,3648.805,3649.025,3648.105,3648.175,0,0
XAUUSD,5,20250912,202000,3648.325,3649.125,3648.095,3648.835,0,0
XAUUSD,5,20250912,202500,3648.825,3648.935,3647.745,3648.055,0,0
XAUUSD,5,20250912,203000,3648.025,3648.395,3647.785,3648.355,0,0
XAUUSD,5,20250912,203500,3648.305,3648.745,3648.095,3648.355,0,0
XAUUSD,5,20250912,204000,3648.365,3649.545,3648.245,3649.165,0,0
XAUUSD,5,20250912,204500,3649.015,3649.155,3648.385,3648.585,0,0
XAUUSD,5,20250912,205000,3648.555,3649.005,3648.385,3648.575,0,0
XAUUSD,5,20250912,205500,3648.525,3648.865,3648.445,3648.835,0,0
XAUUSD,5,20250912,210000,3648.73,3648.73,3647.505,3647.685,0,0
XAUUSD,5,20250912,210500,3647.595,3647.805,3646.935,3646.935,0,0
XAUUSD,5,20250912,211000,3646.915,3647.655,3646.835,3647.145,0,0
XAUUSD,5,20250912,211500,3647.095,3647.625,3646.705,3646.725,0,0
XAUUSD,5,20250912,212000,3646.945,3647.235,3646.515,3646.605,0,0
XAUUSD,5,20250912,212500,3646.775,3646.855,3645.985,3646.025,0,0
XAUUSD,5,20250912,213000,3646.055,3646.585,3645.695,3645.725,0,0
XAUUSD,5,20250912,213500,3645.765,3645.765,3644.775,3645.115,0,0
XAUUSD,5,20250912,214000,3644.905,3645.785,3644.855,3645.705,0,0
XAUUSD,5,20250912,214500,3645.865,3646.795,3645.585,3646.645,0,0
XAUUSD,5,20250912,215000,3646.645,3646.715,3645.235,3645.645,0,0
XAUUSD,5,20250912,215500,3645.725,3646.105,3643.595,3644.185,0,0
XAUUSD,5,20250912,220000,3644.17,3644.185,3644.17,3644.185,0,0
XAUUSD,5,20250915,000000,3645.14,3646.505,3644.185,3644.805,0,0
XAUUSD,5,20250915,000500,3644.665,3645.745,3644.575,3644.695,0,0
XAUUSD,5,20250915,001000,3644.655,3644.655,3643.755,3643.915,0,0
XAUUSD,5,20250915,001500,3643.445,3643.965,3642.985,3643.135,0,0
XAUUSD,5,20250915,002000,3643.135,3643.135,3640.055,3641.545,0,0
