Local,Open,High,Low,Close,Volume
12.10.2016 19:10:00.000 UTC+03:00,1253.142,1253.689,1252.928,1253.258,0.17553999999999997
12.10.2016 19:15:00.000 UTC+03:00,1253.278,1253.808,1253.138,1253.158,0.24752000000000002
12.10.2016 19:20:00.000 UTC+03:00,1253.138,1253.368,1252.632,1253.251,0.20651
12.10.2016 19:25:00.000 UTC+03:00,1253.251,1253.329,1252.718,1253.249,0.20002
12.10.2016 19:30:00.000 UTC+03:00,1253.25,1253.438,1252.349,1252.358,0.19123
12.10.2016 19:35:00.000 UTC+03:00,1252.378,1253.379,1252.378,1252.9,0.23429000000000003
12.10.2016 19:40:00.000 UTC+03:00,1252.899,1252.948,1252.448,1252.618,0.13005
12.10.2016 19:45:00.000 UTC+03:00,1252.628,1252.719,1251.301,1251.59,0.26756
12.10.2016 19:50:00.000 UTC+03:00,1251.589,1252.192,1251.519,1251.992,0.25011
12.10.2016 19:55:00.000 UTC+03:00,1251.992,1252.119,1251.742,1251.898,0.19111
12.10.2016 20:00:00.000 UTC+03:00,1251.891,1252.298,1251.548,1251.598,0.21299
12.10.2016 20:05:00.000 UTC+03:00,1251.608,1253.128,1251.592,1252.829,0.30857
12.10.2016 20:10:00.000 UTC+03:00,1252.819,1253.498,1252.291,1253.038,0.27026999999999995
12.10.2016 20:15:00.000 UTC+03:00,1253.018,1253.059,1252.099,1252.219,0.22825
12.10.2016 20:20:00.000 UTC+03:00,1252.218,1252.829,1252.008,1252.518,0.27341
12.10.2016 20:25:00.000 UTC+03:00,1252.498,1252.528,1251.988,1252.388,0.33174000000000003
12.10.2016 20:30:00.000 UTC+03:00,1252.408,1252.609,1251.968,1252.068,0.15546
12.10.2016 20:35:00.000 UTC+03:00,1252.078,1252.278,1251.618,1251.828,0.18545
12.10.2016 20:40:00.000 UTC+03:00,1251.83,1252.068,1251.099,1251.949,0.22952999999999998
12.10.2016 20:45:00.000 UTC+03:00,1251.959,1252.31,1251.869,1252.262,0.13519
12.10.2016 20:50:00.000 UTC+03:00,1252.248,1252.501,1251.998,1252.312,0.08729
12.10.2016 20:55:00.000 UTC+03:00,1252.312,1252.46,1252.192,1252.241,0.08329999999999999
12.10.2016 21:00:00.000 UTC+03:00,1252.342,1254.76,1251.288,1252.908,0.47513999999999995
12.10.2016 21:05:00.000 UTC+03:00,1252.899,1253.908,1250.729,1253.768,0.47678000000000004
12.10.2016 21:10:00.000 UTC+03:00,1253.769,1255.918,1253.458,1255.449,0.49616000000000005
12.10.2016 21:15:00.000 UTC+03:00,1255.449,1257.1,1254.919,1256.75,0.40440000000000004
12.10.2016 21:20:00.000 UTC+03:00,1256.779,1256.99,1254.832,1255.991,0.27716
