WindowID,EntryTime,Type,Status,MAE,MFE,BarsTracked,EntryPrice,StopPrice,TargetPrice,Bar1_Close,Bar3_Close,Bar5_Close,Bar10_Close
2025-10-14_1630,2025-10-14 17:20:00,BUY,SL_HIT,-63.88000000000102,145.25,20,24516.23,24254.23,25040.23,24516.23,24528.23,24547.35,24538.23
2025-10-17_1000,2025-10-17 11:10:00,SELL,SL_HIT,-123.61999999999898,27.88000000000102,20,24272.73,24422.85,23972.49,24272.73,24295.35,24345.98,24325.98
2025-10-17_1630,2025-10-17 16:50:00,BUY,TP_HIT,-146.0,112.0,20,24682.73,24507.73,25032.73,24682.73,24684.35,24764.85,24641.85
2025-10-20_1630,2025-10-20 16:50:00,BUY,SL_HIT,-26.11999999999898,97.5,20,25065.35,24951.35,25293.35,25065.35,25074.48,25073.6,25122.6
2025-10-22_1630,2025-10-22 17:35:00,SELL,SL_HIT,-98.0,89.63000000000102,20,24930.83,25109.73,24573.03000000001,24930.83,24945.95,25011.45,24897.2
2025-10-24_0300,2025-10-24 04:00:00,BUY,TP_HIT,-9.25,19.75,20,25156.35,25135.23,25198.59,25156.35,25168.35,25165.6,25159.23
2025-10-24_1000,2025-10-24 10:20:00,SELL,SL_HIT,-22.36999999999898,5.0,4,25195.98,25216.35,25155.24,25195.98,25209.1,,
2025-10-24_1630,2025-10-24 17:05:00,BUY,TP_HIT,-100.25,13.0,20,25383.98,25281.6,25588.74,25383.98,25382.6,25349.6,25323.35
2025-10-27_0300,2025-10-27 05:45:00,BUY,TP_HIT,-8.630000000001019,24.36999999999898,20,25602.38,25561.88,25683.38,25602.38,25604.25,25605.25,25625.88
2025-10-27_1000,2025-10-27 12:50:00,BUY,TP_HIT,-6.380000000001019,19.75,20,25686.63,25633.5,25792.890000000003,25686.63,25689.88,25691.88,25699.5
2025-10-28_0300,2025-10-28 03:50:00,SELL,SL_HIT,-6.369999999998981,13.630000000001019,20,25832.48,25852.98,25791.48,25832.48,25827.98,25824.23,25828.23
2025-10-28_1630,2025-10-28 16:50:00,SELL,SL_HIT,-47.25,24.0,20,25889.98,25950.73,25768.48,25889.98,25926.1,25927.98,25884.6
2025-10-29_0300,2025-10-29 03:25:00,BUY,TP_HIT,-18.63000000000102,47.5,20,26042.23,26022.6,26081.49,26042.23,26036.98,26032.85,26043.85
2025-10-29_1000,2025-10-29 10:35:00,BUY,SL_HIT,-26.11999999999898,16.25,14,26150.1,26124.1,26202.1,26150.1,26146.98,26148.98,26148.6
2025-10-29_1630,2025-10-29 16:50:00,BUY,SL_HIT,-47.25,35.13000000000102,13,26148.6,26112.6,26220.6,26148.6,26145.6,26143.85,26159.85
2025-10-30_0300,2025-10-30 03:15:00,BUY,TP_HIT,-24.44999999999709,32.75,20,26143.35,26094.23,26241.59,26143.35,26155.85,26158.48,26125.48
2025-10-30_1000,2025-10-30 10:15:00,BUY,SL_HIT,-43.75,13.5,20,26135.23,26047.9,26309.89,26135.23,26098.48,26100.35,26125.73
2025-10-30_1630,2025-10-30 16:50:00,BUY,SL_HIT,-152.0,47.63000000000102,20,25989.85,25802.23,26365.09,25989.85,25958.48,25966.6,25899.1
2025-10-31_0300,2025-10-31 03:20:00,BUY,TP_HIT,-18.0,29.11999999999898,20,26043.73,26001.1,26128.99,26043.73,26049.6,26047.98,26052.23
2025-10-31_1630,2025-10-31 16:55:00,SELL,TP_HIT,-78.75,41.69999999999709,20,25966.6,26062.85,25774.1,25966.6,25959.1,25974.73,26027.35
2025-11-03_0300,2025-11-03 03:35:00,SELL,TP_HIT,-16.86999999999898,33.5,20,25962.98,25986.23,25916.48,25962.98,25961.35,25954.98,25973.98
2025-11-03_1000,2025-11-03 10:20:00,BUY,TP_HIT,-13.5,78.5,12,25920.35,25885.35,25990.35,25920.35,25931.85,25943.98,25983.23
2025-11-03_1630,2025-11-03 16:45:00,SELL,TP_HIT,-27.11999999999898,136.88000000000102,20,26019.73,26131.23,25796.73,26019.73,26000.15,25988.73,25895.73
2025-11-04_0300,2025-11-04 05:45:00,SELL,TP_HIT,-8.369999999998981,53.38000000000102,20,25803.73,25886.73,25637.73,25803.73,25798.73,25811.48,25789.23
2025-11-04_1000,2025-11-04 11:20:00,SELL,SL_HIT,-44.36999999999898,82.75,20,25598.48,25662.98,25469.48,25598.48,25604.48,25588.35,25543.6
2025-11-04_1630,2025-11-04 16:55:00,BUY,SL_HIT,-136.61999999999898,18.13000000000102,20,25746.1,25534.1,26170.1,25746.1,25722.6,25742.35,25742.35
2025-11-05_0300,2025-11-05 03:15:00,SELL,SL_HIT,-71.11999999999898,65.63000000000102,19,25225.08,25287.08,25101.08,25225.08,25195.45,25162.7,25210.2
2025-11-05_1000,2025-11-05 11:05:00,BUY,SL_HIT,-64.0,7.630000000001019,20,25420.95,25330.7,25601.45,25420.95,25385.33,25391.83,25399.95
2025-11-05_1630,2025-11-05 16:45:00,BUY,TP_HIT,-87.95000000000073,125.07999999999811,20,25485.95,25365.2,25727.45,25485.95,25559.0,25556.33,25571.77
2025-11-06_0300,2025-11-06 03:25:00,SELL,SL_HIT,-84.75,12.119999999998981,16,25508.35,25576.35,25372.35,25508.35,25542.6,25541.6,25527.98
2025-11-06_1000,2025-11-06 10:45:00,BUY,TP_HIT,-24.61999999999898,84.63000000000102,20,25551.1,25508.98,25635.34,25551.1,25550.98,25588.35,25610.48
2025-11-06_1630,2025-11-06 16:50:00,SELL,TP_HIT,-96.75,261.3899999999994,14,25433.98,25563.1,25175.74,25433.98,25295.98,25301.35,25243.08
2025-11-07_0300,2025-11-07 03:25:00,SELL,SL_HIT,-32.5,48.63000000000102,20,25138.48,25222.23,24970.98,25138.48,25137.6,25136.48,25123.6
2025-11-07_1000,2025-11-07 10:15:00,SELL,TP_HIT,-25.13000000000102,1.1199999999989814,1,25219.35,25241.6,25174.85,25219.35,,,
2025-11-07_1630,2025-11-07 17:35:00,SELL,SL_HIT,-70.95999999999913,180.77000000000044,20,24783.06,25000.48,24348.220000000005,24783.06,24751.11,24715.36,24705.62
2025-11-10_0300,2025-11-10 03:20:00,BUY,TP_HIT,-13.130000000001019,63.36999999999898,20,25278.98,25220.23,25396.48,25278.98,25272.23,25272.1,25310.35
2025-11-10_1000,2025-11-10 10:35:00,BUY,TP_HIT,-2.5,64.61999999999898,20,25398.73,25353.48,25489.23,25398.73,25407.73,25426.85,25440.73
2025-11-10_1630,2025-11-10 17:00:00,BUY,SL_HIT,-119.52999999999884,26.88000000000102,12,25534.35,25420.48,25762.09,25534.35,25519.85,25550.6,25501.98
