<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NDQ,5,20250617,165000,19631.01,19636.51,19624.49,19628.42,76916065,0
^NDQ,5,20250617,165500,19624.95,19625.77,19610.61,19613.94,55403530,0
^NDQ,5,20250617,170000,19612.76,19635.37,19612.09,19634.22,56969823,0
^NDQ,5,20250617,170500,19633.37,19643.48,19629.97,19642.5,52140181,0
^NDQ,5,20250617,171000,19641.99,19655.48,19641.99,19655.48,54515120,0
^NDQ,5,20250617,171500,19658.19,19658.19,19633.66,19645.29,60080690,0
^NDQ,5,20250617,172000,19644.76,19645.97,19631.69,19636.66,52835697,0
^NDQ,5,20250617,172500,19632.75,19633.4,19623.73,19624.45,60207792,0
^NDQ,5,20250617,173000,19625.21,19625.21,19618.86,19621.19,64492861,0
^NDQ,5,20250617,173500,19630.85,19635.64,19626.36,19628.09,32919954,0
^NDQ,5,20250617,174000,19630.75,19648.24,19630.75,19647.07,51475758,0
^NDQ,5,20250617,174500,19650.51,19652.05,19628.93,19635,36848278,0
^NDQ,5,20250617,175000,19638.73,19648.67,19636.29,19643.95,33921410,0
^NDQ,5,20250617,175500,19644.06,19644.06,19633.37,19634.85,45383062,0
^NDQ,5,20250617,180000,19635.76,19655.05,19635.55,19653.79,48132710,0
^NDQ,5,20250617,180500,19653.73,19663.31,19638.84,19646.04,47768656,0
^NDQ,5,20250617,181000,19646.19,19661.7,19646.19,19661.7,41787467,0
^NDQ,5,20250617,181500,19663.03,19663.92,19656.13,19661.21,34793511,0
^NDQ,5,20250617,182000,19661.29,19664.33,19651.58,19651.58,39274548,0
^NDQ,5,20250617,182500,19653.09,19656.67,19648.31,19652.68,32945588,0
^NDQ,5,20250617,183000,19651.59,19661.62,19648.95,19661.62,41624627,0
^NDQ,5,20250617,183500,19662.56,19666.45,19658.63,19659.16,39764806,0
^NDQ,5,20250617,184000,19657.77,19657.77,19625.52,19628.78,44722729,0
^NDQ,5,20250617,184500,19629.61,19639.65,19622.53,19622.53,68666929,0
^NDQ,5,20250617,185000,19620.27,19620.27,19603.6,19609.05,27547038,0
^NDQ,5,20250617,185500,19607.72,19607.72,19581.04,19586.57,51816498,0
^NDQ,5,20250617,190000,19585.46,19594.83,19570.35,19594.25,48859009,0
^NDQ,5,20250617,190500,19591.23,19595.25,19575.14,19595.25,48006738,0
^NDQ,5,20250617,191000,19594.63,19604.81,19593.64,19601.54,48738964,0
^NDQ,5,20250617,191500,19602.06,19602.13,19596.1,19596.1,46620293,0
^NDQ,5,20250617,192000,19590.04,19597.03,19583.25,19593.01,39023084,0
^NDQ,5,20250617,192500,19586.49,19590.05,19578.23,19578.33,41296572,0
^NDQ,5,20250617,193000,19557.71,19593.45,19557.71,19591.86,51243094,0
^NDQ,5,20250617,193500,19591.86,19602.5,19582.28,19584.37,41747025,0
^NDQ,5,20250617,194000,19583.98,19591.83,19571.42,19573.91,35900954,0
^NDQ,5,20250617,194500,19571.79,19576.22,19524.1,19532.29,44832042,0
^NDQ,5,20250617,195000,19530.46,19540.46,19518.17,19536.87,50617242,0
^NDQ,5,20250617,195500,19538.77,19551.18,19534.76,19534.76,36054327,0
^NDQ,5,20250617,200000,19529.02,19530.02,19503.85,19508.49,49680429,0
